metric_month,marketing_year,factor_key,factor_name,value,unit,method,source_name,source_url,monthly_source_status
2016-04-01,2016/17,domestic_other_use,Domestic other use,0.513985,million_tonnes,annual_total_demand_to_monthly_other_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,not_found_cleanly
2016-04-01,2016/17,ethanol_demand_signal,Ethanol demand signal,35.0,index_100,curated_step_signal,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-04-01,2016/17,exports,Exports,0.027195,million_tonnes,annual_exports_to_monthly_proxy,APEDA Product Page + proxy,https://apeda.gov.in/,partially_available
2016-04-01,2016/17,feed_use,Feed use,1.186738,million_tonnes,annual_total_demand_to_monthly_feed_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,mixed
2016-04-01,2016/17,industrial_use,Industrial use,0.259,million_tonnes,annual_total_demand_to_monthly_industrial_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,not_found_cleanly
2016-04-01,2016/17,policy_changes,Policy changes,0.0,policy_index,curated_event_series,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-04-01,2016/17,population_trend,Population / consumption trend,1328.06,million_people,annual_population_to_monthly_interpolation,Interpolated population trend,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,annual_only
2016-04-01,2016/17,poultry_demand_cycle,Poultry demand cycle,97.0,index_100,curated_monthly_poultry_cycle,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-04-01,2016/17,retail_price_pressure,Retail / mandi price pressure,100.0,index_100,monthly_national_maize_price_index,Local maize support store,D:\ncel2\ncel-commodity-pricing\backend\data\maize_model_support.db,available
2016-04-01,2016/17,seed_use,Seed use,0.02072,million_tonnes,annual_seed_to_monthly_sowing_proxy,Derived sowing proxy,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,not_found_cleanly
2016-04-01,2016/17,substitution_effect,Substitution effect,100.0,index_100,monthly_maize_vs_wheat_ratio_index,Local maize vs wheat support stores,D:\ncel2\ncel-commodity-pricing\backend\data\maize_model_support.db | D:\ncel2\ncel-commodity-pricing\backend\data\wheat_model_support.db,available
2016-04-01,2016/17,total_demand_monthly,Total demand monthly,2.007638,million_tonnes,feed_plus_industrial_plus_exports_plus_seed_plus_domestic_other_use,Derived inside Maize demand store,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,derived
2016-05-01,2016/17,domestic_other_use,Domestic other use,0.513985,million_tonnes,annual_total_demand_to_monthly_other_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,not_found_cleanly
2016-05-01,2016/17,ethanol_demand_signal,Ethanol demand signal,35.0,index_100,curated_step_signal,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-05-01,2016/17,exports,Exports,0.027195,million_tonnes,annual_exports_to_monthly_proxy,APEDA Product Page + proxy,https://apeda.gov.in/,partially_available
2016-05-01,2016/17,feed_use,Feed use,1.186738,million_tonnes,annual_total_demand_to_monthly_feed_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,mixed
2016-05-01,2016/17,industrial_use,Industrial use,0.259,million_tonnes,annual_total_demand_to_monthly_industrial_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,not_found_cleanly
2016-05-01,2016/17,policy_changes,Policy changes,0.0,policy_index,curated_event_series,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-05-01,2016/17,population_trend,Population / consumption trend,1329.24,million_people,annual_population_to_monthly_interpolation,Interpolated population trend,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,annual_only
2016-05-01,2016/17,poultry_demand_cycle,Poultry demand cycle,96.0,index_100,curated_monthly_poultry_cycle,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-05-01,2016/17,retail_price_pressure,Retail / mandi price pressure,100.0,index_100,monthly_national_maize_price_index,Local maize support store,D:\ncel2\ncel-commodity-pricing\backend\data\maize_model_support.db,available
2016-05-01,2016/17,seed_use,Seed use,0.04144,million_tonnes,annual_seed_to_monthly_sowing_proxy,Derived sowing proxy,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,not_found_cleanly
2016-05-01,2016/17,substitution_effect,Substitution effect,100.0,index_100,monthly_maize_vs_wheat_ratio_index,Local maize vs wheat support stores,D:\ncel2\ncel-commodity-pricing\backend\data\maize_model_support.db | D:\ncel2\ncel-commodity-pricing\backend\data\wheat_model_support.db,available
2016-05-01,2016/17,total_demand_monthly,Total demand monthly,2.028358,million_tonnes,feed_plus_industrial_plus_exports_plus_seed_plus_domestic_other_use,Derived inside Maize demand store,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,derived
2016-06-01,2016/17,domestic_other_use,Domestic other use,0.513985,million_tonnes,annual_total_demand_to_monthly_other_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,not_found_cleanly
2016-06-01,2016/17,ethanol_demand_signal,Ethanol demand signal,35.0,index_100,curated_step_signal,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-06-01,2016/17,exports,Exports,0.027195,million_tonnes,annual_exports_to_monthly_proxy,APEDA Product Page + proxy,https://apeda.gov.in/,partially_available
2016-06-01,2016/17,feed_use,Feed use,1.186738,million_tonnes,annual_total_demand_to_monthly_feed_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,mixed
2016-06-01,2016/17,industrial_use,Industrial use,0.259,million_tonnes,annual_total_demand_to_monthly_industrial_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,not_found_cleanly
2016-06-01,2016/17,policy_changes,Policy changes,0.0,policy_index,curated_event_series,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-06-01,2016/17,population_trend,Population / consumption trend,1330.42,million_people,annual_population_to_monthly_interpolation,Interpolated population trend,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,annual_only
2016-06-01,2016/17,poultry_demand_cycle,Poultry demand cycle,98.0,index_100,curated_monthly_poultry_cycle,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-06-01,2016/17,retail_price_pressure,Retail / mandi price pressure,100.0,index_100,monthly_national_maize_price_index,Local maize support store,D:\ncel2\ncel-commodity-pricing\backend\data\maize_model_support.db,available
2016-06-01,2016/17,seed_use,Seed use,0.19684,million_tonnes,annual_seed_to_monthly_sowing_proxy,Derived sowing proxy,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,not_found_cleanly
2016-06-01,2016/17,substitution_effect,Substitution effect,100.0,index_100,monthly_maize_vs_wheat_ratio_index,Local maize vs wheat support stores,D:\ncel2\ncel-commodity-pricing\backend\data\maize_model_support.db | D:\ncel2\ncel-commodity-pricing\backend\data\wheat_model_support.db,available
2016-06-01,2016/17,total_demand_monthly,Total demand monthly,2.183758,million_tonnes,feed_plus_industrial_plus_exports_plus_seed_plus_domestic_other_use,Derived inside Maize demand store,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,derived
2016-07-01,2016/17,domestic_other_use,Domestic other use,0.526676,million_tonnes,annual_total_demand_to_monthly_other_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,not_found_cleanly
2016-07-01,2016/17,ethanol_demand_signal,Ethanol demand signal,35.0,index_100,curated_step_signal,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-07-01,2016/17,exports,Exports,0.027195,million_tonnes,annual_exports_to_monthly_proxy,APEDA Product Page + proxy,https://apeda.gov.in/,partially_available
2016-07-01,2016/17,feed_use,Feed use,1.231804,million_tonnes,annual_total_demand_to_monthly_feed_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,mixed
2016-07-01,2016/17,industrial_use,Industrial use,0.259,million_tonnes,annual_total_demand_to_monthly_industrial_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,not_found_cleanly
2016-07-01,2016/17,policy_changes,Policy changes,0.0,policy_index,curated_event_series,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-07-01,2016/17,population_trend,Population / consumption trend,1331.6,million_people,annual_population_to_monthly_interpolation,Interpolated population trend,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,annual_only
2016-07-01,2016/17,poultry_demand_cycle,Poultry demand cycle,101.0,index_100,curated_monthly_poultry_cycle,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-07-01,2016/17,retail_price_pressure,Retail / mandi price pressure,100.0,index_100,monthly_national_maize_price_index,Local maize support store,D:\ncel2\ncel-commodity-pricing\backend\data\maize_model_support.db,available
2016-07-01,2016/17,seed_use,Seed use,0.22792,million_tonnes,annual_seed_to_monthly_sowing_proxy,Derived sowing proxy,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,not_found_cleanly
2016-07-01,2016/17,substitution_effect,Substitution effect,100.0,index_100,monthly_maize_vs_wheat_ratio_index,Local maize vs wheat support stores,D:\ncel2\ncel-commodity-pricing\backend\data\maize_model_support.db | D:\ncel2\ncel-commodity-pricing\backend\data\wheat_model_support.db,available
2016-07-01,2016/17,total_demand_monthly,Total demand monthly,2.272595,million_tonnes,feed_plus_industrial_plus_exports_plus_seed_plus_domestic_other_use,Derived inside Maize demand store,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,derived
2016-08-01,2016/17,domestic_other_use,Domestic other use,0.533022,million_tonnes,annual_total_demand_to_monthly_other_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,not_found_cleanly
2016-08-01,2016/17,ethanol_demand_signal,Ethanol demand signal,35.0,index_100,curated_step_signal,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-08-01,2016/17,exports,Exports,0.027195,million_tonnes,annual_exports_to_monthly_proxy,APEDA Product Page + proxy,https://apeda.gov.in/,partially_available
2016-08-01,2016/17,feed_use,Feed use,1.261848,million_tonnes,annual_total_demand_to_monthly_feed_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,mixed
2016-08-01,2016/17,industrial_use,Industrial use,0.259,million_tonnes,annual_total_demand_to_monthly_industrial_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,not_found_cleanly
2016-08-01,2016/17,policy_changes,Policy changes,0.0,policy_index,curated_event_series,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-08-01,2016/17,population_trend,Population / consumption trend,1332.78,million_people,annual_population_to_monthly_interpolation,Interpolated population trend,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,annual_only
2016-08-01,2016/17,poultry_demand_cycle,Poultry demand cycle,103.0,index_100,curated_monthly_poultry_cycle,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-08-01,2016/17,retail_price_pressure,Retail / mandi price pressure,100.0,index_100,monthly_national_maize_price_index,Local maize support store,D:\ncel2\ncel-commodity-pricing\backend\data\maize_model_support.db,available
2016-08-01,2016/17,seed_use,Seed use,0.08288,million_tonnes,annual_seed_to_monthly_sowing_proxy,Derived sowing proxy,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,not_found_cleanly
2016-08-01,2016/17,substitution_effect,Substitution effect,100.0,index_100,monthly_maize_vs_wheat_ratio_index,Local maize vs wheat support stores,D:\ncel2\ncel-commodity-pricing\backend\data\maize_model_support.db | D:\ncel2\ncel-commodity-pricing\backend\data\wheat_model_support.db,available
2016-08-01,2016/17,total_demand_monthly,Total demand monthly,2.163945,million_tonnes,feed_plus_industrial_plus_exports_plus_seed_plus_domestic_other_use,Derived inside Maize demand store,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,derived
2016-09-01,2016/17,domestic_other_use,Domestic other use,0.533022,million_tonnes,annual_total_demand_to_monthly_other_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,not_found_cleanly
2016-09-01,2016/17,ethanol_demand_signal,Ethanol demand signal,35.0,index_100,curated_step_signal,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-09-01,2016/17,exports,Exports,0.03108,million_tonnes,annual_exports_to_monthly_proxy,APEDA Product Page + proxy,https://apeda.gov.in/,partially_available
2016-09-01,2016/17,feed_use,Feed use,1.261848,million_tonnes,annual_total_demand_to_monthly_feed_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,mixed
2016-09-01,2016/17,industrial_use,Industrial use,0.259,million_tonnes,annual_total_demand_to_monthly_industrial_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,not_found_cleanly
2016-09-01,2016/17,policy_changes,Policy changes,0.0,policy_index,curated_event_series,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-09-01,2016/17,population_trend,Population / consumption trend,1333.96,million_people,annual_population_to_monthly_interpolation,Interpolated population trend,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,annual_only
2016-09-01,2016/17,poultry_demand_cycle,Poultry demand cycle,104.0,index_100,curated_monthly_poultry_cycle,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-09-01,2016/17,retail_price_pressure,Retail / mandi price pressure,100.0,index_100,monthly_national_maize_price_index,Local maize support store,D:\ncel2\ncel-commodity-pricing\backend\data\maize_model_support.db,available
2016-09-01,2016/17,seed_use,Seed use,0.03108,million_tonnes,annual_seed_to_monthly_sowing_proxy,Derived sowing proxy,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,not_found_cleanly
2016-09-01,2016/17,substitution_effect,Substitution effect,100.0,index_100,monthly_maize_vs_wheat_ratio_index,Local maize vs wheat support stores,D:\ncel2\ncel-commodity-pricing\backend\data\maize_model_support.db | D:\ncel2\ncel-commodity-pricing\backend\data\wheat_model_support.db,available
2016-09-01,2016/17,total_demand_monthly,Total demand monthly,2.11603,million_tonnes,feed_plus_industrial_plus_exports_plus_seed_plus_domestic_other_use,Derived inside Maize demand store,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,derived
2016-10-01,2016/17,domestic_other_use,Domestic other use,0.545713,million_tonnes,annual_total_demand_to_monthly_other_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,not_found_cleanly
2016-10-01,2016/17,ethanol_demand_signal,Ethanol demand signal,35.0,index_100,curated_step_signal,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-10-01,2016/17,exports,Exports,0.03885,million_tonnes,annual_exports_to_monthly_proxy,APEDA Product Page + proxy,https://apeda.gov.in/,partially_available
2016-10-01,2016/17,feed_use,Feed use,1.291892,million_tonnes,annual_total_demand_to_monthly_feed_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,mixed
2016-10-01,2016/17,industrial_use,Industrial use,0.259,million_tonnes,annual_total_demand_to_monthly_industrial_proxy,Local maize supply-demand balance,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,not_found_cleanly
2016-10-01,2016/17,policy_changes,Policy changes,0.0,policy_index,curated_event_series,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-10-01,2016/17,population_trend,Population / consumption trend,1335.14,million_people,annual_population_to_monthly_interpolation,Interpolated population trend,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,annual_only
2016-10-01,2016/17,poultry_demand_cycle,Poultry demand cycle,105.0,index_100,curated_monthly_poultry_cycle,Curated Maize demand profile,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,curated
2016-10-01,2016/17,retail_price_pressure,Retail / mandi price pressure,100.0,index_100,monthly_national_maize_price_index,Local maize support store,D:\ncel2\ncel-commodity-pricing\backend\data\maize_model_support.db,available
2016-10-01,2016/17,seed_use,Seed use,0.16576,million_tonnes,annual_seed_to_monthly_sowing_proxy,Derived sowing proxy,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,not_found_cleanly
2016-10-01,2016/17,substitution_effect,Substitution effect,100.0,index_100,monthly_maize_vs_wheat_ratio_index,Local maize vs wheat support stores,D:\ncel2\ncel-commodity-pricing\backend\data\maize_model_support.db | D:\ncel2\ncel-commodity-pricing\backend\data\wheat_model_support.db,available
2016-10-01,2016/17,total_demand_monthly,Total demand monthly,2.301215,million_tonnes,feed_plus_industrial_plus_exports_plus_seed_plus_domestic_other_use,Derived inside Maize demand store,D:\ncel2\ncel-commodity-pricing\SnD\demand\maize\build_maize_demand_store.py,derived
