metric_month,marketing_year,geography,factor_key,factor_name,factor_group,value,unit,method,source_name,source_url,monthly_source_status
2016-04-01,2016/17,India,acreage_sown_area,Acreage (sown area),area,9.6,million_hectare,annual_hold_constant_monthly,Economic Survey Statistical Appendix,https://www.indiabudget.gov.in/economicsurvey/doc/Statistical-Appendix-in-English.pdf,annual_only
2016-04-01,2015/16,Global,brazil_safrinha_harvest_calendar,Brazil safrinha harvest calendar,calendar,42.0,index,recurring_monthly_harvest_calendar,Curated Brazil safrinha harvest calendar,https://www.fao.org/,curated
2016-04-01,2016/17,India,buffer_stock,Buffer stock,stock,2.395,million_tonnes,annual_opening_to_closing_stock_interpolation,Local supply-demand analytics store,D:\ncel2\ncel-commodity-pricing\backend\data\supply_demand_analytics.db,mixed
2016-04-01,2016/17,India,domestic_production,Domestic production,production,0.777,million_tonnes,annual_production_to_monthly_harvest_release_proxy,Economic Survey Statistical Appendix,https://www.indiabudget.gov.in/economicsurvey/doc/Statistical-Appendix-in-English.pdf,annual_only
2016-04-01,2015/16,Global,global_exporter_harvest_calendar,Global exporter harvest calendar,calendar,24.0,index,recurring_monthly_harvest_calendar,Curated global maize exporter harvest calendar,https://www.fao.org/,curated
2016-04-01,2016/17,India,imports,Imports,trade,0.0,million_tonnes,annual_imports_to_monthly_uniform_proxy,Local supply-demand analytics store,D:\ncel2\ncel-commodity-pricing\backend\data\supply_demand_analytics.db,mixed
2016-04-01,2015/16,Argentina,major_producer_crop_conditions,Major producer crop conditions,crop_condition,58.0,index,recurring_monthly_crop_condition_profile,Curated global maize crop-condition profile,https://www.usda.gov/,curated
2016-04-01,2015/16,Brazil,major_producer_crop_conditions,Major producer crop conditions,crop_condition,62.0,index,recurring_monthly_crop_condition_profile,Curated global maize crop-condition profile,https://www.usda.gov/,curated
2016-04-01,2015/16,Ukraine,major_producer_crop_conditions,Major producer crop conditions,crop_condition,50.0,index,recurring_monthly_crop_condition_profile,Curated global maize crop-condition profile,https://www.usda.gov/,curated
2016-04-01,2015/16,United States,major_producer_crop_conditions,Major producer crop conditions,crop_condition,52.0,index,recurring_monthly_crop_condition_profile,Curated global maize crop-condition profile,https://www.usda.gov/,curated
2016-04-01,2016/17,India,opening_stock,Opening stocks,stock,2.395,million_tonnes,annual_opening_to_closing_stock_interpolation,Local supply-demand analytics store,D:\ncel2\ncel-commodity-pricing\backend\data\supply_demand_analytics.db,mixed
2016-04-01,2016/17,India,total_availability,Total availability,derived,3.172,million_tonnes,opening_stock_plus_domestic_production_plus_imports,Derived inside Maize supply store,D:\ncel2\ncel-commodity-pricing\SnD\supply\maize\maize_supply_factors.db,derived
