state,date,modal_price,normalized_price_per_kg,arrival_quantity,market_count,variety_count,record_count,price_lag_1,price_lag_7,price_lag_14,price_lag_30,price_rolling_mean_7,price_rolling_mean_30,price_rolling_std_7,price_rolling_std_30,arrival_lag_1,arrival_rolling_mean_7,arrival_rolling_mean_30,arrival_momentum_7,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_mean,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,soil_temperature_0_to_7cm_mean,precipitation_rolling_sum_7,temp_rolling_mean_7,humidity_rolling_mean_7,soil_moisture_rolling_mean_7,year,month,day,iso_week,day_of_year,quarter,is_weekend,month_sin,month_cos,day_of_year_sin,day_of_year_cos,is_rabi_sowing_window,is_rabi_growth_window,is_rabi_harvest_window,is_procurement_window,target_next_day_price,target_next_7d_avg_price,created_at,wheat_yield_kg_per_hectare,wheat_production_million_tonnes,wheat_area_million_hectare,cpi_inflation_rate,policy_repo_rate,government_buffer_wheat_stock,government_buffer_wheat_stock_norm,wheat_central_pool_exports,global_wheat_benchmark_srw_usd_mt,global_wheat_benchmark_hrw_usd_mt,global_wheat_benchmark_avg_usd_mt,wheat_driver_composite_score,wheat_driver_domestic_score,wheat_driver_weather_score,wheat_driver_global_score,wheat_driver_policy_score,wheat_driver_price_adjustment_pct,msp_inr_quintal,cost_of_production_inr_quintal,margin_over_cost_percent,procurement_actual_lmt,procurement_estimated_lmt,progressive_area_sown_lakh_hectare,final_area_previous_season_lakh_hectare
Bihar,2024-01-01,2550.0,25.5,60.0,1,1,1,,,,,,,,,,,,,13.1,19.5,9.0,0.0,0.0,9.7,12.06,1.93,85.0,0.243,0.266,15.3,,,,,2024,1,1,1,1,1,0,0.49999999999999994,0.8660254037844387,0.01716632975470737,0.9998526477050269,0,1,0,0,2537.378640776699,2537.378640776699,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Gujarat,2024-01-01,2749.0380642508107,27.4903806425081,826.76,37,18,46,,,,,,,,,,,,,20.4,27.6,15.2,0.0,0.0,11.2,15.42,3.06,73.0,0.16,0.184,22.3,,,,,2024,1,1,1,1,1,0,0.49999999999999994,0.8660254037844387,0.01716632975470737,0.9998526477050269,0,1,0,0,2694.2129555595675,2694.2129555595675,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
West Bengal,2024-01-01,2333.0632325278543,23.330632325278543,69.11,10,4,11,,,,,,,,,,,,,17.7,24.5,13.2,0.0,0.0,8.9,14.17,2.55,81.0,0.223,0.253,19.1,,,,,2024,1,1,1,1,1,0,0.49999999999999994,0.8660254037844387,0.01716632975470737,0.9998526477050269,0,1,0,0,2338.545172146001,2338.545172146001,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Karnataka,2024-01-01,4074.753012048193,40.747530120481926,166.0,5,5,5,,,,,,,,,,,,,21.9,28.6,16.5,0.0,0.0,12.3,18.83,4.15,60.0,0.132,0.192,23.0,,,,,2024,1,1,1,1,1,0,0.49999999999999994,0.8660254037844387,0.01716632975470737,0.9998526477050269,0,1,0,0,3886.5309734513276,3886.5309734513276,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Madhya Pradesh,2024-01-01,2485.1298515135427,24.85129851513543,1332.059999,38,4,44,,,,,,,,,,,,,19.7,26.3,14.1,0.3,0.3,10.2,13.74,2.67,77.0,0.291,0.315,20.2,,,,,2024,1,1,1,1,1,0,0.49999999999999994,0.8660254037844387,0.01716632975470737,0.9998526477050269,0,1,0,0,2449.731593827496,2449.731593827496,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Uttrakhand,2024-01-01,2175.0,21.75,10.0,1,1,1,,,,,,,,,,,,,11.0,18.0,7.3,0.0,0.0,8.6,11.82,1.81,84.0,0.351,0.359,11.8,,,,,2024,1,1,1,1,1,0,0.49999999999999994,0.8660254037844387,0.01716632975470737,0.9998526477050269,0,1,0,0,2175.0,2175.0,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Maharashtra,2024-01-01,2826.613247863248,28.266132478632482,468.0,57,4,60,,,,,,,,,,,,,21.1,28.4,14.6,0.0,0.0,9.9,16.37,3.44,64.0,0.283,0.298,22.0,,,,,2024,1,1,1,1,1,0,0.49999999999999994,0.8660254037844387,0.01716632975470737,0.9998526477050269,0,1,0,0,2806.3957783641163,2806.3957783641163,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
NCT of Delhi,2024-01-01,2425.0,24.25,7.5,1,1,1,,,,,,,,,,,,,10.4,16.1,5.9,0.0,0.0,8.2,10.65,1.65,85.0,0.224,0.22,13.6,,,,,2024,1,1,1,1,1,0,0.49999999999999994,0.8660254037844387,0.01716632975470737,0.9998526477050269,0,1,0,0,2600.0,2600.0,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Uttar Pradesh,2024-01-01,2478.9462056978437,24.789462056978433,13692.9,117,2,117,,,,,,,,,,,,,14.1,20.5,8.1,0.0,0.0,7.3,12.55,2.03,83.0,0.24,0.252,15.4,,,,,2024,1,1,1,1,1,0,0.49999999999999994,0.8660254037844387,0.01716632975470737,0.9998526477050269,0,1,0,0,2483.9316568551367,2483.9316568551367,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Rajasthan,2024-01-01,2425.4862229102164,24.254862229102166,646.0,36,5,37,,,,,,,,,,,,,12.7,21.0,8.3,0.0,0.0,9.4,13.83,2.28,78.0,0.174,0.197,15.5,,,,,2024,1,1,1,1,1,0,0.49999999999999994,0.8660254037844387,0.01716632975470737,0.9998526477050269,0,1,0,0,2470.257530335475,2470.257530335475,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
